ngram,count_all,count_high,share_all,share_high,lift_high_vs_all
내일 월욜,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
월욜 일동,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
일동 떡락한다에,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
한국비엔씨가 작전주인,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
작전주인 이유,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
아니 그냥,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
24살 학식입니다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
12 000원,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
네이버 클라우드,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
도저히 불안해서,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
불안해서 잠이,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
망상인 이유,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주주분들 힘내세요,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주주들 필독,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
이화그룹 사태,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
사태 뉴스를,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
뉴스를 추려봤습니다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
추려봤습니다 모르시는,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
모르시는 분들을,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
분들을 위해서,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
목표가 수정,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
내일 장전,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
대량 매도,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
얼마나 될까요,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
초대형 호재,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주식 30년차의,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
30년차의 월요일,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주가 분석,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
진양산업 폴리,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
차트 완전,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
한동훈 관련주,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
20프로 확정,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
소식 송코영신,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
송코영신 합시다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
외인 프매,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
삼성중공업 월요일,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
박순혁 금양,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주린인데 셀트리온,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
셀트리온 지금,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
너무 비싼거같아서,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
더불어민주당 대표,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
knav 티웨이,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
티웨이 주식고수,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
주식고수 knav,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
knav 입니다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
이미 포홀은,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
포홀은 하락추세에,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
하락추세에 들어섰다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
미국 이란,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
사고 싶은,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
이제 어떻게,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
진심으로 조언합니다,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
월요일 갭상승,3,1,1.2454851164528584e-05,4.006731308598445e-05,3.217004567673692
