candidate,published_at,company_code,views,comment,title
좃됐네요,2021-01-31 22:54:00,005380,1123,4,올해 주식 매수한 사람들은 다 좃됐네요
좃됐네요,2021-01-31 23:03:00,066570,1225,3,올해 주식 매수한 사람들은 다 좃됐네요
좃됐네요,2021-01-31 23:06:00,006400,879,3,올해 주식 매수한 사람들은 다 좃됐네요
좃됐네요,2021-01-31 23:27:00,005385,787,3,올해 주식 매수한 사람들은 다 좃됐네요
간호사,2020-07-31 23:04:00,019170,1015,10,고대 안산병원 임상시험중. 효과 확인 간호사
간호사,2022-04-30 23:07:00,048410,506,15,간호사 희망회로 다돌렸나?^^
간호사,2020-07-31 23:27:00,019170,729,5,여친 간호사.병원 의사 간호사 전부 신풍주주
간호사,2022-05-31 21:43:00,048410,1080,3,간호사입니다
간호사,2022-04-30 22:03:00,048410,787,4,임상 연구 간호사 CRC
간호사,2024-08-31 22:03:00,200670,306,1,간호법 이 후 간호사가 보톡스 필러 시술 하게 되면
간호사,2023-09-30 21:33:00,005930,333,0,주사 실수로 환자사망’ 재판받던 간호사극단선택
김총리,2021-12-31 20:24:00,019170,1076,13,"김총리 ""경구용 치료제 확보, 곧 좋은 소식"""
김총리,2021-12-31 21:32:00,019170,979,8,"김총리 ""경구용 치료제 확보, 곧 좋은 소식"""
김총리,2021-12-31 22:30:00,256840,1247,6,"김총리 ""먹는 치료제, 곧 좋은 소식…'송코영신'합시다"""
김총리,2021-12-31 22:37:00,258830,1067,7,"김총리 ""게임체인저 될 경구용 치료제, 곧 좋은 소식 알려드릴 것"""
김총리,2021-12-31 21:16:00,256840,853,3,김총리
김총리,2021-12-31 21:17:00,019170,756,3,"김총리 일부 언론의 오보에 일일이 대응하지 않았다"""
김총리,2021-12-31 22:28:00,019170,628,1,"김총리 ""먹는 치료제, 곧 좋은 소식…'송코영신'합시다"""
김총리,2021-12-31 22:21:00,019170,143,1,김총리말자체가 오보다
사노맹,2020-04-30 23:14:00,061970,1062,4,"이 사람(이낙연 아들, 정신건강의학과 교수, 식품학과? → 부산의전원?) 보니 역대최대최고비리 弔國(사노맹戰士) 딸이 오버랩.."
사노맹,2020-04-30 22:58:00,083310,1109,3,[2020총선] 주사파·사노맹戰士가 주인된 정치집단이 주인된..주사파·사노맹戰士의 꼭두각시? 이런 자도 국회의원?..김남국..
사노맹,2020-04-30 22:56:00,037950,523,5,2020총선..문제人 남은 2년래..차기 짝퉁령은 주사파·사노맹戰士의 틀 속에서..대한민국폭망과 아울러 김정은의 무혈입성·남한적화도 예상..
사노맹,2020-05-31 21:57:00,078600,572,4,[2020총선] 주사파·사노맹戰士가 주인된 정치집단이 주인된..주사파·사노맹戰士의 꼭두각시? 이런 자도 국회의원?..김남국..
사노맹,2020-04-30 22:44:00,058630,458,1,"김남국도 국회의원..유료팟캐스트(여성품평·성적비하,성희롱발언)..가족비리백과 弔國(사노맹戰士)..궤변적 옹호..중앙대?행정학과?→로스쿨?.."
사노맹,2022-04-30 22:19:00,010140,343,0,[삭제된 게시물의 답글]간도 우리땅! 우리땅 간도☞ 좌빨종북주사파사노맹토착왜구부역숙주좀비종자들 보거라!
사노맹,2022-04-30 22:48:00,010140,321,0,[삭제된 게시물의 답글]간도 우리땅! 우리땅 간도☞ 좌빨종북주사파사노맹토착왜구부역숙주좀비종자들 보거라!
1000일,2021-08-31 23:17:00,064550,1731,23,♤ 261일차 ♤ 株價 100만원 祈願 1000일 祈禱
1000일,2021-12-31 21:30:00,064550,1329,22,♤ 383일차 ♤ 株價 100만원 祈願   1000일 祈禱
1000일,2022-01-31 21:29:00,064550,968,18,♤ 414일차 ♤ 株價 100만원 祈願   1000일 祈禱
1000일,2021-07-31 21:24:00,064550,1294,12,♤ 230일차 ♤ 株價 100만원 祈願 1000일 祈禱
1000일,2022-12-31 21:29:00,064550,546,11,♤ 748일차 ♤ 株價 100만원 祈願 1000일 祈禱
1000일,2021-07-31 22:43:00,095500,243,0,D~1000일
보십니까,2021-09-30 23:54:00,104480,1352,8,목표가 어떻게 보십니까?
보십니까,2023-12-31 23:51:00,229640,731,5,선생님들 LS머트리얼즈는 어떻게 보십니까
보십니까,2021-07-31 22:45:00,006650,1017,3,그래서 이번 하락의 바닥은 어디까지 보십니까?
